type,alS,ironS,S,d,R,A,E,Tp,W
LGJ-35/6,34.86,5.81,40.67,8.16,<null>,1.91e-05,79000,12630,141.0
LGJ-50/8,48.25,8.039999999999999,56.29,9.6,<null>,1.91e-05,79000,16870,195.1
LGJ-50/30,50.73,29.59,80.31999999999999,11.6,<null>,1.53e-05,105000,42620,372.0
LGJ-70/10,68.05,11.34,79.39,11.4,<null>,1.91e-05,79000,23390,355.2
LGJ-70/40,69.73,40.67,110.4,13.6,<null>,1.53e-05,105000,58300,511.3
LGJ-95/15,94.39,15.33,109.72,13.61,<null>,1.89e-05,76000,35000,380.8
LGJ-95/20,95.14,18.82,113.96,13.87,<null>,1.85e-05,76000,37200,408.9
LGJ-95/20&,94.23,17.81,112.04,13.68,<null>,1.91e-05,80000,31863,401.0
LGJ-95/55,96.51000000000001,56.3,152.81,16,<null>,1.53e-05,105000,78110,707.7
LGJ-95/55&,96.51000000000001,56.3,152.81,16,<null>,1.53e-05,105000,74204,707.7
LGJ-120/7,118.89,6.61,125.5,14.5,<null>,2.12e-05,66000,27570,379.0
LGJ-120/20,115.67,18.82,134.49,15.07,<null>,1.89e-05,76000,41000,466.8
LGJ-120/70,122.15,71.25,193.4,18,<null>,1.53e-05,105000,98370,895.6
LGJ-150/8,144.76,8.039999999999999,152.8,16,<null>,2.12e-05,66000,32860,461.4
LGJ-150/20,145.68,18.82,164.5,16.67,<null>,1.96e-05,73000,46630,549.4
LGJ-150/25,148.86,24.25,173.11,17.1,<null>,1.89e-05,76000,54110,601.0
LGJ-150/35,147.26,34.36,181.62,17.5,<null>,1.78e-05,80000,65020,676.2
LGJ-185/10,183.22,10.18,193.4,18,<null>,2.12e-05,66000,40880,584.0
LGJ-185/25,187.04,24.25,211.29,18.9,<null>,1.96e-05,73000,59420,706.1
LGJ-185/30,181.34,29.59,210.93,18.88,<null>,1.89e-05,76000,64320,732.6
LGJ-185/45,184.73,43.1,227.83,19.6,<null>,1.78e-05,80000,80190,848.2
LGJ-210/10,204.14,11.34,215.48,19,<null>,2.12e-05,66000,45140,650.7
LGJ-210/25,209.02,27.1,236.12,19.98,<null>,1.96e-05,73000,65990,789.1
LGJ-210/35,211.73,34.36,246.09,20.38,<null>,1.89e-05,76000,74250,853.9
LGJ-210/50,209.24,48.82,258.06,20.86,<null>,1.78e-05,80000,90830,960.8
LGJ-240/30&,244.29,31.67,275.96,21.6,<null>,1.96e-05,73000,71839,922.2
LGJ-240/30,244.29,31.67,275.96,21.6,<null>,1.96e-05,73000,75620,922.2
LGJ-240/40,238.85,38.9,277.75,21.66,<null>,1.89e-05,76000,83370,964.3
LGJ-240/55,241.27,56.3,297.57,22.4,<null>,1.78e-05,80000,102100,1108.0
LGJ-300/15,296.88,15.33,312.21,23.01,<null>,2.14e-05,61000,68060,939.8
LGJ-300/20,303.42,20.91,324.33,23.43,<null>,2.09e-05,63000,75680,1002.0
LGJ-300/25,306.21,27.1,333.31,23.76,<null>,2.05e-05,65000,83410,1058.0
LGJ-300/40,300.09,38.9,338.99,23.94,<null>,1.96e-05,73000,92220,1133
LGJ-300/40&,300.09,38.9,338.99,23.94,<null>,1.96e-05,73000,87609,1133
LGJ-300/50,299.54,48.82,348.36,24.26,<null>,1.89e-05,76000,103400,1210
LGJ-300/70,305.36,71.25,376.61,25.2,<null>,1.78e-05,80000,128000,1402
LGJ-400/20,406.4,20.91,427.31,26.91,<null>,2.14e-05,61000,88850,1286
